NAME                           ZONE
c4d-highcpu-384                us-central1-b
c4d-highcpu-4                  us-central1-b
c4d-highcpu-48                 us-central1-b
c4d-highcpu-64                 us-central1-b
c4d-highcpu-8                  us-central1-b
c4d-highcpu-96                 us-central1-b
c4d-highmem-16                 us-central1-b
c4d-highmem-16-lssd            us-central1-b
c4d-highmem-192                us-central1-b
c4d-highmem-192-lssd           us-central1-b
c4d-highmem-2                  us-central1-b
c4d-highmem-32                 us-central1-b
c4d-highmem-32-lssd            us-central1-b
c4d-highmem-384                us-central1-b
c4d-highmem-384-lssd           us-central1-b
c4d-highmem-4                  us-central1-b
c4d-highmem-48                 us-central1-b
c4d-highmem-48-lssd            us-central1-b
c4d-highmem-64                 us-central1-b
c4d-highmem-64-lssd            us-central1-b
c4d-highmem-8                  us-central1-b
c4d-highmem-8-lssd             us-central1-b
c4d-highmem-96                 us-central1-b
c4d-highmem-96-lssd            us-central1-b
c4d-standard-16                us-central1-b
c4d-standard-16-lssd           us-central1-b
c4d-standard-192               us-central1-b
c4d-standard-192-lssd          us-central1-b
c4d-standard-2                 us-central1-b
c4d-standard-32                us-central1-b
c4d-standard-32-lssd           us-central1-b
c4d-standard-384               us-central1-b
c4d-standard-384-lssd          us-central1-b
c4d-standard-384-metal         us-central1-b
c4d-standard-4                 us-central1-b
c4d-standard-48                us-central1-b
c4d-standard-48-lssd           us-central1-b
c4d-standard-64                us-central1-b
c4d-standard-64-lssd           us-central1-b
c4d-standard-8                 us-central1-b
c4d-standard-8-lssd            us-central1-b
c4d-standard-96                us-central1-b
c4d-standard-96-lssd           us-central1-b
ct3-hightpu-4t                 us-central1-b
ct3p-hightpu-4t                us-central1-b
ct6e-standard-1t               us-central1-b
ct6e-standard-4t               us-central1-b
ct6e-standard-8t               us-central1-b
e2-highcpu-16                  us-central1-b
e2-highcpu-2                   us-central1-b
e2-highcpu-32                  us-central1-b
e2-highcpu-4                   us-central1-b
e2-highcpu-8                   us-central1-b
e2-highmem-16                  us-central1-b
e2-highmem-2                   us-central1-b
e2-highmem-4                   us-central1-b
